order_id,org_id,city_id,store_id,customer_id_hash,order_ts,promised_eta_minutes,actual_delivery_minutes,basket_value_inr,discount_value_inr,delivery_fee_inr,payment_method,order_status,item_count,distance_km,assigned_driver_id,picker_employee_id,packer_employee_id,peak_flag,rain_flag,surge_flag
28,1,1,1,c9467b83d6ffa6a9,2026-03-27T14:03:30+05:30,8,17,235.02,19.65,9,upi,cancelled,7,2.13,12,113,115,false,false,true
29,1,1,1,fa77f933655c174a,2026-03-27T09:34:34+05:30,13,16,730.18,65.16,0,cod,delivered,8,3.25,5,108,120,false,false,true
30,1,1,1,103f33d92c6e6ca4,2026-03-27T12:09:15+05:30,13,15,307.43,37.23,9,cod,delivered,3,2.66,22,106,120,true,false,true
31,1,1,1,6ce15b081b7328e0,2026-03-27T20:31:10+05:30,11,11,588.27,57.78,0,upi,delivered,6,0.4,21,107,122,true,false,true
32,1,1,1,89d1fc2697243145,2026-03-27T20:42:56+05:30,11,14,360.31,1.59,15,cod,delivered,4,1.97,14,106,121,true,false,true
33,1,1,1,541bd7f7ec45e7a6,2026-03-27T08:23:52+05:30,10,14,193.07,8.01,12,upi,delivered,6,4.35,12,105,121,false,false,true
34,1,1,1,88384ccfb5933abc,2026-03-27T18:08:09+05:30,8,11,1077.1,25.4,0,cod,delivered,6,3.81,15,108,118,true,false,true
35,1,1,1,cbaf347414305907,2026-03-27T09:37:39+05:30,13,14,372.08,31.46,18,upi,delivered,5,1.71,23,104,122,false,false,true
36,1,1,1,eec791daeecf3980,2026-03-27T19:11:29+05:30,13,16,315.14,1.04,18,upi,delivered,9,2.67,18,112,122,true,false,true
37,1,1,1,3e529d43b9d78770,2026-03-27T10:59:00+05:30,10,9,209.24,15.64,15,wallet,delivered,7,1.21,17,106,115,false,false,true
38,1,1,1,99a1142ac9368cd5,2026-03-27T07:40:32+05:30,9,8,426.43,8.31,0,cod,delivered,6,2.35,7,105,119,false,false,true
39,1,1,1,f4edf1e4497ff3cb,2026-03-27T12:54:52+05:30,13,19,1105.35,87.86,0,wallet,delivered,9,4.63,2,110,114,true,false,true
40,1,1,1,96ce6ba479563ced,2026-03-27T14:43:08+05:30,10,14,169.34,5.05,9,card,delivered,5,3.85,8,108,123,false,false,true
41,1,1,1,8be410d32afc2dbc,2026-03-27T21:50:00+05:30,12,14,756.91,88.42,0,card,delivered,11,3.19,24,107,123,true,false,true
42,1,1,1,a045eb33f8797f35,2026-03-27T10:38:50+05:30,12,12,638.87,18.06,0,upi,delivered,7,2.26,8,108,119,false,false,true
43,1,1,1,ed20c2e72a451a22,2026-03-27T13:35:17+05:30,12,17,334.92,47.42,15,card,delivered,8,1.63,5,104,123,true,false,true
44,1,1,1,8f88c79dac1ac574,2026-03-27T12:01:47+05:30,11,15,677.08,6.5,0,upi,delivered,8,2.34,13,112,116,true,false,true
45,1,1,1,0e415387bcabc1cb,2026-03-27T14:59:39+05:30,14,14,532.2,13.82,0,wallet,delivered,7,2.31,14,107,115,false,false,true
46,1,1,1,e35ccf18028bb051,2026-03-27T14:05:37+05:30,13,14,158.64,6.6,9,wallet,delivered,4,1.54,14,108,119,false,false,true
47,1,1,1,53e3cd0e4d5e34eb,2026-03-27T15:50:49+05:30,13,14,243.64,21.73,12,upi,delivered,7,2.79,22,105,117,false,false,true
48,1,1,1,61c2b35c3dac4d9d,2026-03-27T11:30:07+05:30,14,17,555.95,39.45,0,upi,delivered,8,1.81,10,112,116,false,false,true
49,1,1,1,3987ee40acae90da,2026-03-27T13:35:16+05:30,9,12,245.01,7.78,9,upi,delivered,4,2.7,19,108,120,true,false,true
50,1,1,1,5ef76bad1b453f9a,2026-03-27T10:00:04+05:30,9,8,1850,22.17,0,wallet,delivered,8,3.12,9,107,117,false,false,true
51,1,1,1,358889f21e78b9ea,2026-03-27T09:02:57+05:30,20,21,428.8,27.52,0,card,delivered,5,2.99,10,105,116,false,false,true
52,1,1,1,07300471c61569df,2026-03-27T12:35:03+05:30,14,16,1045.31,1.95,0,cod,delivered,9,2.82,6,104,119,true,false,true
53,1,1,1,b9c8d5d3421f13e8,2026-03-27T20:42:43+05:30,12,17,304.15,35.62,9,upi,delivered,6,3.94,22,112,123,true,false,true
54,1,1,1,9c2d5c7ba3fccb37,2026-03-27T11:04:43+05:30,12,16,290.51,15.45,15,upi,delivered,3,3.68,7,105,115,false,false,true
55,1,1,1,7dbdbdf13e33cb4b,2026-03-27T16:56:03+05:30,13,12,495.97,9.2,0,card,delivered,6,2.93,16,107,122,false,false,true
56,1,1,1,f1cf2a05e42dd3b8,2026-03-27T21:34:14+05:30,16,20,182.1,23.84,9,upi,delivered,8,1.32,22,104,117,true,false,true
57,1,1,1,7b9374bd9dbf1a37,2026-03-27T08:29:39+05:30,11,10,680.93,42.12,0,upi,delivered,9,2.42,9,106,118,false,false,true
58,1,1,1,e7e631299ad4f25f,2026-03-27T17:39:37+05:30,14,12,679.97,55.1,0,upi,delivered,6,0.79,3,111,114,false,false,true
59,1,1,1,a152a0376960a405,2026-03-27T16:42:44+05:30,13,13,669.34,54.0,0,upi,delivered,8,0.78,3,109,120,false,false,true
60,1,1,1,eb98de3598ea82fd,2026-03-27T11:20:05+05:30,8,9,122.58,6.14,12,upi,delivered,5,2.76,10,106,119,false,false,true
61,1,1,1,e649fbff039c32e9,2026-03-27T11:31:50+05:30,9,10,1030.75,0.18,0,wallet,delivered,10,3.65,2,110,120,false,false,true
62,1,1,1,57436c02a5f20a4c,2026-03-27T09:25:25+05:30,12,14,941.76,35.71,0,card,delivered,9,2.04,11,108,121,false,false,true
63,1,1,1,8208781668e0a673,2026-03-27T16:39:17+05:30,16,17,301.51,13.38,12,upi,delivered,5,2.23,17,105,118,false,false,true
64,1,1,1,7465963ee3acbd78,2026-03-27T10:55:52+05:30,9,10,727.26,17.49,0,upi,delivered,6,1.65,4,109,115,false,false,true
65,1,1,1,cc7d49775b0bd558,2026-03-27T16:39:11+05:30,13,13,325.48,13.29,18,upi,delivered,4,2.36,1,104,123,false,false,true
66,1,1,1,6e40f123a07a9204,2026-03-27T21:38:11+05:30,13,15,602.56,35.17,0,upi,delivered,9,0.85,3,106,121,true,false,true
67,1,1,1,2d4bf3be357b1c45,2026-03-27T17:18:58+05:30,12,13,154.25,6.51,18,upi,delivered,2,2.46,7,106,119,false,false,true
68,1,1,1,49e658c1b57ea76c,2026-03-27T12:23:49+05:30,9,12,1850,30.5,0,upi,delivered,11,3.72,10,108,121,true,false,true
69,1,1,1,947f4265729b14d0,2026-03-27T10:31:30+05:30,16,19,392.52,28.8,15,upi,delivered,4,3.0,11,104,120,false,false,true
70,1,1,1,142407fc0b418b7f,2026-03-27T19:02:35+05:30,13,16,90,7.63,9,upi,delivered,1,0.4,2,106,116,true,false,true
71,1,1,1,6814cd6bbe98c234,2026-03-27T18:33:29+05:30,13,17,444.11,39.26,0,upi,delivered,7,1.04,12,107,115,true,false,true
72,1,1,1,c70f3882567d720d,2026-03-27T11:44:15+05:30,12,14,697.94,59.18,0,upi,delivered,7,3.9,15,113,121,false,false,true
73,1,1,1,eadc8c03c73ce6af,2026-03-27T21:09:08+05:30,13,18,101.22,4.55,15,upi,delivered,3,1.42,14,112,115,true,false,true
74,1,1,1,67ac14960ce2ec6f,2026-03-27T13:23:21+05:30,13,18,1109.03,72.95,0,cod,delivered,10,3.72,12,113,117,true,false,true
75,1,1,1,04ccd70390110369,2026-03-27T08:46:08+05:30,11,11,583.61,9.42,0,card,delivered,5,1.56,11,112,120,false,false,true
76,1,1,1,25b4894e40a5e0f8,2026-03-27T22:24:42+05:30,8,11,854.36,31.3,0,cod,delivered,8,2.97,16,111,114,false,false,true
77,1,1,1,04e039174546ae3f,2026-03-27T19:06:14+05:30,12,15,481.35,38.33,0,upi,delivered,7,1.41,14,112,120,true,false,true
78,1,1,1,17a08dfacbe5d954,2026-03-27T11:45:53+05:30,17,16,855.69,28.47,0,upi,delivered,5,2.52,22,106,117,false,false,true
79,1,1,1,1466d8f1a5c8f104,2026-03-27T13:24:52+05:30,12,16,199.34,4.66,15,upi,delivered,4,2.87,2,107,123,true,false,true
80,1,1,1,eb2fb89b45543f54,2026-03-27T18:53:45+05:30,13,15,515.11,71.82,0,upi,delivered,7,2.77,4,111,114,true,false,true
81,1,1,1,c52d1183b4e7ff4e,2026-03-27T09:47:26+05:30,8,8,281.6,0.88,18,upi,delivered,6,2.71,2,104,117,false,false,true
82,1,1,1,0cbb0b29b3ebbf7c,2026-03-27T17:07:28+05:30,15,16,431.46,23.05,0,upi,delivered,6,2.61,14,105,118,false,false,true
83,1,1,1,a949aaed93faab9f,2026-03-27T09:37:06+05:30,12,11,110.96,5.99,15,wallet,delivered,7,1.55,5,107,119,false,false,true
84,1,1,1,c327f8f8217c3c2d,2026-03-27T15:36:39+05:30,9,9,306.44,8.59,12,upi,delivered,5,4.28,3,108,123,false,false,true
85,1,1,1,24b6ff99da8f2da8,2026-03-27T10:32:18+05:30,13,15,402.73,12.55,0,upi,delivered,7,0.45,7,110,117,false,false,true
86,1,1,1,d8bbbb5a16aae59f,2026-03-27T20:34:46+05:30,11,15,932.57,139.51,0,upi,delivered,12,2.26,1,109,121,true,false,true
87,1,1,1,30bd9eee1ad05b7e,2026-03-27T09:24:28+05:30,11,13,285.68,15.37,12,cod,delivered,6,3.62,6,104,120,false,false,true
88,1,1,1,14f71c01b91a1d0b,2026-03-27T14:57:43+05:30,11,13,201.09,12.05,18,upi,delivered,3,4.77,18,113,114,false,false,true
89,1,1,1,e1928e65572b9043,2026-03-27T18:10:40+05:30,9,10,669.62,57.05,0,card,delivered,8,2.22,11,112,116,true,false,true
90,1,1,1,eceef8dc181b3bf4,2026-03-27T17:41:27+05:30,9,7,500.19,37.83,0,card,delivered,7,2.02,10,104,118,false,false,true
91,1,1,1,ff90ca833c5f8367,2026-03-27T19:43:33+05:30,12,13,350.43,15.24,18,card,delivered,9,4.37,13,111,116,true,false,true
92,1,1,1,800a7a3da14dd817,2026-03-27T16:04:13+05:30,10,9,617.78,2.65,0,upi,delivered,6,2.86,18,104,121,false,false,true
93,1,1,1,075a94c068828a2c,2026-03-27T15:25:48+05:30,10,8,153.51,11.42,12,card,delivered,5,2.62,24,107,118,false,false,true
94,1,1,1,69fadbc41da7fdbb,2026-03-27T11:41:24+05:30,14,16,312.79,18.42,18,cod,delivered,10,2.88,5,106,121,false,false,true
95,1,1,1,8a5ccb093481fede,2026-03-27T14:39:59+05:30,14,13,769.45,31.57,0,card,delivered,7,2.55,13,113,118,false,false,true
96,1,1,1,40efe53f5fa4264c,2026-03-27T11:38:41+05:30,13,11,725.12,50.47,0,upi,delivered,7,0.4,9,113,118,false,false,true
97,1,1,1,888cb41f2b5f8ffb,2026-03-27T07:44:12+05:30,15,16,1238.68,72.52,0,cod,delivered,10,0.4,3,112,115,false,false,true
98,1,1,1,afef750a26d1ec4b,2026-03-27T13:18:00+05:30,11,15,722.53,91.32,0,wallet,delivered,8,4.18,11,108,118,true,false,true
99,1,1,1,2d0ba7295a9b6523,2026-03-27T21:15:50+05:30,13,19,547.76,85.1,0,upi,delivered,5,4.99,5,107,122,true,false,true
100,1,1,1,af278f40f37628b0,2026-03-27T12:06:23+05:30,13,14,611.91,45.47,0,upi,delivered,8,2.66,6,106,123,true,false,true
101,1,1,1,c45883a09e008466,2026-03-27T11:48:49+05:30,11,12,456.72,19.47,0,upi,delivered,4,3.24,21,106,123,false,false,true
102,1,1,1,c28b70471c205125,2026-03-27T13:19:36+05:30,12,17,150.41,19.98,15,wallet,delivered,7,3.34,18,112,120,true,false,true
103,1,1,1,ba58ab5dd109bd4b,2026-03-27T09:58:10+05:30,13,15,871.54,26.13,0,card,delivered,9,1.56,23,113,119,false,false,true
104,1,1,1,ed53c3413c54d11b,2026-03-27T16:11:51+05:30,10,14,207.2,10.64,15,upi,delivered,3,4.35,18,107,121,false,false,true
105,1,1,1,c7ae7cf888e8e257,2026-03-27T17:23:36+05:30,13,14,224.08,11.8,18,upi,delivered,3,2.43,10,113,116,false,false,true
106,1,1,1,1e2e63dab22e6b00,2026-03-27T19:22:40+05:30,12,12,388.41,29.87,12,card,delivered,6,2.48,22,108,118,true,false,true
107,1,1,1,40467ebc07f4dbb1,2026-03-27T09:27:29+05:30,8,10,557.15,0.94,0,upi,delivered,6,2.84,11,111,121,false,false,true
108,1,1,1,02cfae0c58db08df,2026-03-27T19:32:41+05:30,13,26,731.92,80.74,0,upi,cancelled,5,4.62,19,109,123,true,false,true
109,1,1,1,e9043960dff4479e,2026-03-27T11:59:55+05:30,14,12,381.96,2.51,9,card,delivered,6,1.35,23,113,121,false,false,true
110,1,1,1,de980e838dbd1a85,2026-03-27T08:28:08+05:30,17,16,644.34,35.07,0,cod,delivered,6,3.1,17,105,120,false,false,true
111,1,1,1,4c2625dde15a9c03,2026-03-27T19:21:32+05:30,12,12,256.83,29.31,15,upi,delivered,6,1.9,19,107,119,true,false,true
112,1,1,1,e52d2b2d17062c46,2026-03-27T22:03:20+05:30,9,11,495.08,13.06,0,upi,delivered,3,2.09,20,110,116,false,false,true
113,1,1,1,2ef31d45ef6cccfe,2026-03-27T10:58:34+05:30,9,11,256.32,6.15,15,wallet,delivered,3,1.25,16,104,122,false,false,true
114,1,1,1,7af6e97ed2be421d,2026-03-27T08:30:07+05:30,12,14,494.69,18.28,0,upi,delivered,5,3.89,8,108,119,false,false,true
115,1,1,1,4b2ea9ca6925822b,2026-03-27T08:24:38+05:30,8,7,578.94,46.96,0,upi,delivered,7,3.07,21,109,116,false,false,true
116,1,1,1,b2c606a4bf16663c,2026-03-27T18:27:14+05:30,10,15,347.15,51.82,9,upi,delivered,4,3.49,7,105,119,true,false,true
117,1,1,1,9d3a43002dbd7281,2026-03-27T10:24:26+05:30,11,16,207.39,11.19,18,upi,delivered,4,4.96,18,111,116,false,false,true
118,1,1,1,250b9f231bfd7e88,2026-03-27T07:06:43+05:30,13,12,90,7.76,15,wallet,delivered,4,0.89,6,104,119,false,false,true
119,1,1,1,67c6ea9a7774714a,2026-03-27T14:44:40+05:30,13,11,526.53,12.11,0,cod,delivered,8,0.85,4,104,119,false,false,true
120,1,1,1,efaecffba5388400,2026-03-27T12:45:09+05:30,14,18,585.72,33.9,0,upi,delivered,7,2.85,9,111,116,true,false,true
121,1,1,1,2f5dd5e09013d3dd,2026-03-27T20:35:11+05:30,12,13,1169.9,64.57,0,cod,delivered,7,4.4,19,109,123,true,false,true
122,1,1,1,9a6b1a8e37fc6681,2026-03-27T11:34:43+05:30,13,13,341.82,0.39,9,card,delivered,8,0.42,8,104,121,false,false,true
123,1,1,1,a28b5da378b043b0,2026-03-27T09:11:43+05:30,13,16,225.48,18.57,18,upi,delivered,6,2.09,5,112,120,false,false,true
124,1,1,1,95ef0ac68d4381f2,2026-03-27T19:04:24+05:30,9,11,90,5.02,15,cod,delivered,1,2.03,10,107,117,true,false,true
125,1,1,1,5a96d441391c3ac7,2026-03-27T20:57:03+05:30,10,12,1033.48,98.66,0,upi,delivered,8,2.43,5,112,122,true,false,true
126,1,1,1,70619fb6b629788b,2026-03-27T10:29:39+05:30,15,16,344.11,7.38,15,upi,delivered,6,2.49,2,111,117,false,false,true
127,1,1,1,a532ad46bcb1e540,2026-03-27T19:09:55+05:30,8,11,259.32,4.3,18,cod,delivered,7,2.01,13,108,119,true,false,true
128,1,1,1,a23ea273a6401f05,2026-03-27T11:08:55+05:30,11,14,544.45,13.88,0,upi,delivered,10,2.54,10,106,120,false,false,true
129,1,1,1,99b7c4f6ec663228,2026-03-27T15:45:01+05:30,12,13,181.09,1.46,18,upi,delivered,6,2.32,9,106,115,false,false,true
130,1,1,1,160e51afd239312e,2026-03-27T10:29:19+05:30,13,16,1064.45,18.04,0,wallet,delivered,8,3.59,23,113,119,false,false,true
131,1,1,1,14b673dbe1c5a151,2026-03-27T15:24:55+05:30,13,15,441.42,23.22,0,wallet,delivered,6,2.4,9,112,118,false,false,true
132,1,1,1,a4fc070441809929,2026-03-27T17:01:00+05:30,13,16,122.64,7.07,9,upi,delivered,6,2.26,24,104,114,false,false,true
133,1,1,1,3a1c58845c1044af,2026-03-27T21:13:37+05:30,12,17,574.89,63.21,0,upi,delivered,8,3.31,15,108,115,true,false,true
134,1,1,1,c6259ea8cb2dd1a0,2026-03-27T21:07:19+05:30,12,11,875.48,120.53,0,wallet,delivered,8,3.89,7,108,120,true,false,true
135,1,1,1,40a1b7b570519a36,2026-03-27T14:11:03+05:30,9,8,549.19,13.12,0,upi,delivered,6,3.01,16,112,122,false,false,true
136,1,1,1,495f616fa4892c16,2026-03-27T09:16:57+05:30,11,13,525.26,35.61,0,upi,delivered,7,2.05,22,104,117,false,false,true
137,1,1,1,f389b148620556d2,2026-03-27T16:37:34+05:30,11,10,369.55,23.43,15,cod,delivered,5,2.57,2,104,121,false,false,true
138,1,1,1,e4dee8f0ecf96094,2026-03-27T21:08:09+05:30,14,16,532.59,28.08,0,wallet,delivered,7,1.68,10,110,117,true,false,true
139,1,1,1,3704880205ebedea,2026-03-27T21:09:20+05:30,8,12,287.77,13.24,18,upi,delivered,6,2.04,5,107,118,true,false,true
140,1,1,1,fae89e795652d1cb,2026-03-27T22:16:51+05:30,13,15,1022.63,23.75,0,upi,delivered,11,2.62,9,107,116,false,false,true
141,1,1,1,963b81bacbcba07c,2026-03-27T14:44:28+05:30,10,13,198.65,7.1,15,upi,delivered,7,3.13,4,110,115,false,false,true
142,1,1,1,7ec3bf55eb9d07c2,2026-03-27T21:59:46+05:30,10,14,512.07,1.71,0,wallet,delivered,9,1.68,10,108,116,true,false,true
143,1,1,1,e899fe84e5869e67,2026-03-27T15:43:40+05:30,12,14,399.69,9.23,0,upi,delivered,7,2.35,10,111,118,false,false,true
144,1,1,1,6c5895b1ccd44fa3,2026-03-27T22:09:07+05:30,11,13,380.26,13.91,15,card,delivered,5,3.3,7,104,119,false,false,true
145,1,1,1,4c1f6e342defba8d,2026-03-27T17:13:18+05:30,12,15,343.96,21.89,12,wallet,delivered,6,3.33,11,113,122,false,false,true
146,1,1,1,66988277f8910dbe,2026-03-27T16:06:35+05:30,14,15,775.68,26.4,0,upi,delivered,10,0.4,9,104,114,false,false,true
147,1,1,1,a050a90e021d9b05,2026-03-27T15:21:23+05:30,12,13,310.52,6.12,12,upi,delivered,7,2.4,7,107,117,false,false,true
148,1,1,1,b7d747125b9eccf8,2026-03-27T16:07:35+05:30,12,14,336.18,9.78,9,upi,delivered,3,2.35,5,109,117,false,false,true
149,1,1,1,0701b063c4fb4573,2026-03-27T16:50:10+05:30,15,16,370.35,10.62,12,upi,delivered,5,2.47,18,105,120,false,false,true
150,1,1,1,3fe8e6be4b4a960a,2026-03-27T16:41:42+05:30,16,19,346.99,4.09,15,upi,delivered,6,4.31,1,112,122,false,false,true
151,1,1,1,62762f6a2714f9a0,2026-03-27T08:47:12+05:30,15,18,266.47,20.0,15,card,delivered,4,0.4,7,110,120,false,false,true
152,1,1,1,8857dc9c408ead53,2026-03-27T19:49:35+05:30,10,16,90,9.26,15,upi,delivered,1,3.79,6,106,116,true,false,true
153,1,1,1,a7df5ee075f71603,2026-03-27T18:18:44+05:30,10,13,793.24,82.69,0,card,delivered,5,4.05,7,105,117,true,false,true
154,1,1,1,2c9d26aa0ba6672f,2026-03-27T11:04:22+05:30,13,11,329.93,9.76,18,cod,delivered,5,2.05,5,107,116,false,false,true
155,1,1,1,27309b6b806e7431,2026-03-27T20:55:16+05:30,11,15,646.54,3.22,0,card,delivered,6,4.7,17,112,120,true,false,true
156,1,1,1,3614fe4cf8686184,2026-03-27T12:45:34+05:30,15,16,568.62,36.38,0,upi,delivered,7,1.42,19,110,116,true,false,true
157,1,1,1,fece3ae8e9a17a07,2026-03-27T16:23:30+05:30,13,12,152.29,7.11,9,wallet,delivered,2,2.82,22,107,115,false,false,true
158,1,1,1,6c6fecf8577b21b6,2026-03-27T07:17:33+05:30,9,9,220.97,3.74,15,card,delivered,4,2.97,19,109,116,false,false,true
159,1,1,1,6dc61b8b6f1b17e5,2026-03-27T13:29:09+05:30,10,12,177.02,16.56,9,upi,delivered,2,1.66,7,112,122,true,false,true
160,1,1,1,f717daf193a274d7,2026-03-27T21:02:36+05:30,10,12,345.99,0.38,15,card,delivered,6,4.04,17,106,119,true,false,true
161,1,1,1,092904c9327973e6,2026-03-27T16:52:20+05:30,13,17,242.87,11.56,15,card,delivered,3,4.12,19,112,117,false,false,true
162,1,1,1,3b43c0cee262c848,2026-03-27T16:09:13+05:30,13,12,345.34,26.55,9,cod,delivered,7,0.6,14,110,122,false,false,true
163,1,1,1,81a01f79cce62641,2026-03-27T18:34:05+05:30,15,21,227.16,18.62,15,card,delivered,3,0.96,12,113,123,true,false,true
164,1,1,1,8e7f31baeb0098da,2026-03-27T11:12:20+05:30,16,18,1040.39,73.2,0,card,delivered,8,3.24,16,104,119,false,false,true
165,1,1,1,d0f1ace1c228f956,2026-03-27T13:45:35+05:30,9,14,490.08,69.77,0,cod,delivered,9,2.2,22,107,120,true,false,true
166,1,1,1,c908a055f81cff27,2026-03-27T18:56:33+05:30,13,18,515.68,47.92,0,upi,delivered,6,2.14,2,112,118,true,false,true
167,1,1,1,8ebd1fd6f4037006,2026-03-27T21:08:21+05:30,17,19,481.24,61.07,0,upi,delivered,5,2.81,14,110,114,true,false,true
168,1,1,1,d0ab3099d41da736,2026-03-27T16:57:41+05:30,8,10,940.82,17.27,0,upi,delivered,7,2.48,16,108,123,false,false,true
169,1,1,1,c96214b14d7efc0f,2026-03-27T12:43:10+05:30,9,11,239.74,16.74,18,upi,delivered,3,1.57,4,111,121,true,false,true
170,1,1,1,ece6e86dcc34d717,2026-03-27T14:34:22+05:30,10,14,594.56,40.21,0,upi,delivered,7,2.69,18,109,121,false,false,true
171,1,1,1,054ab96d2d55c72d,2026-03-27T21:51:25+05:30,12,13,317.2,9.06,15,cod,delivered,7,1.52,7,108,115,true,false,true
172,1,1,1,8dce8c2de6e2ff29,2026-03-27T20:53:48+05:30,10,13,452.27,43.89,0,upi,delivered,6,3.7,20,111,121,true,false,true
173,1,1,1,d7d376fd86e1229e,2026-03-27T13:17:11+05:30,12,17,464.74,27.27,0,upi,delivered,4,2.9,19,106,120,true,false,true
174,1,1,1,8cbaf05913c9666f,2026-03-27T14:46:28+05:30,13,16,934.89,7.87,0,upi,delivered,6,2.63,12,110,116,false,false,true
175,1,1,1,95b3d334373c5359,2026-03-27T22:45:54+05:30,9,8,90,4.05,12,cod,delivered,1,1.46,15,107,118,false,false,true
176,1,1,1,a3258c505fb8b51b,2026-03-27T20:29:08+05:30,12,20,592.27,30.64,0,upi,delivered,6,4.33,11,113,118,true,false,true
177,1,1,1,d3386bfd25d8b0a6,2026-03-27T22:01:50+05:30,10,9,305.87,11.92,12,cod,delivered,4,2.5,24,107,118,false,false,true
178,1,1,1,99ef4a82133d2397,2026-03-27T18:26:31+05:30,9,13,756.6,96.33,0,card,delivered,6,3.16,5,104,120,true,false,true
179,1,1,1,34cc5e52a9a1557b,2026-03-27T22:27:56+05:30,12,15,359.19,13.22,9,card,delivered,6,1.54,5,105,121,false,false,true
180,1,1,1,4bcdb3c823d56cc6,2026-03-27T21:00:53+05:30,10,14,422.31,58.64,0,upi,delivered,6,1.81,14,106,118,true,false,true
181,1,1,1,08289a5e8a8d9f57,2026-03-27T20:27:45+05:30,10,15,1623.41,144.73,0,card,delivered,11,2.96,7,113,117,true,false,true
