invoice_id,org_id,vendor_id,contract_id,store_id,city_id,invoice_ref,invoice_date,billing_period_start,billing_period_end,service_unit_count,validated_unit_count,billed_rate_inr,contracted_rate_inr,amount_inr,status
128,1,8,8,26,5,QB-026-08-W01,2026-03-29,2026-03-27,2026-03-29,67,67,1314.92,1088.48,88099.64,open
129,1,5,5,26,5,QB-026-05-W01,2026-03-29,2026-03-27,2026-03-29,93,93,34.29,34.29,3188.97,open
130,1,10,10,26,5,QB-026-10-W01,2026-03-29,2026-03-27,2026-03-29,28,28,240.82,240.82,6742.96,open
131,1,1,1,27,5,QB-027-01-W01,2026-03-29,2026-03-27,2026-03-29,579,579,35.74,35.74,20693.46,open
132,1,4,4,27,5,QB-027-04-W01,2026-03-29,2026-03-27,2026-03-29,720,720,6.98,6.98,5025.6,open
133,1,7,7,27,5,QB-027-07-W01,2026-03-29,2026-03-27,2026-03-29,72,72,937.94,937.94,67531.68,open
134,1,6,6,27,5,QB-027-06-W01,2026-03-29,2026-03-27,2026-03-29,157,157,39.06,39.06,6132.42,open
135,1,10,10,27,5,QB-027-10-W01,2026-03-29,2026-03-27,2026-03-29,39,39,240.82,240.82,9391.98,open
136,1,1,1,28,5,QB-028-01-W01,2026-03-29,2026-03-27,2026-03-29,408,358,35.74,35.74,14581.92,open
137,1,4,4,28,5,QB-028-04-W01,2026-03-29,2026-03-27,2026-03-29,425,425,6.98,6.98,2966.5,open
138,1,8,8,28,5,QB-028-08-W01,2026-03-29,2026-03-27,2026-03-29,40,40,1088.48,1088.48,43539.2,open
139,1,5,5,28,5,QB-028-05-W01,2026-03-29,2026-03-27,2026-03-29,106,106,34.29,34.29,3634.74,open
140,1,10,10,28,5,QB-028-10-W01,2026-03-29,2026-03-27,2026-03-29,23,23,240.82,240.82,5538.86,open
141,1,1,1,29,5,QB-029-01-W01,2026-03-29,2026-03-27,2026-03-29,392,392,35.74,35.74,14010.08,open
142,1,4,4,29,5,QB-029-04-W01,2026-03-29,2026-03-27,2026-03-29,541,541,6.98,6.98,3776.18,open
143,1,7,7,29,5,QB-029-07-W01,2026-03-29,2026-03-27,2026-03-29,63,63,937.94,937.94,59090.22,open
144,1,5,5,29,5,QB-029-05-W01,2026-03-29,2026-03-27,2026-03-29,118,118,34.29,34.29,4046.22,open
145,1,10,10,29,5,QB-029-10-W01,2026-03-29,2026-03-27,2026-03-29,33,33,240.82,240.82,7947.06,open
146,1,1,1,30,5,QB-030-01-W01,2026-03-29,2026-03-27,2026-03-29,365,365,35.74,35.74,13045.1,open
147,1,3,3,30,5,QB-030-03-W01,2026-03-29,2026-03-27,2026-03-29,421,421,6.47,6.47,2723.87,open
148,1,7,7,30,5,QB-030-07-W01,2026-03-29,2026-03-27,2026-03-29,59,59,937.94,937.94,55338.46,open
149,1,5,5,30,5,QB-030-05-W01,2026-03-29,2026-03-27,2026-03-29,166,166,34.29,34.29,5692.14,open
150,1,9,9,30,5,QB-030-09-W01,2026-03-29,2026-03-27,2026-03-29,21,21,298.29,298.29,6264.09,open
151,1,1,1,31,6,QB-031-01-W01,2026-03-29,2026-03-27,2026-03-29,668,668,35.74,35.74,23874.32,open
152,1,3,3,31,6,QB-031-03-W01,2026-03-29,2026-03-27,2026-03-29,876,876,6.47,6.47,5667.72,open
153,1,7,7,31,6,QB-031-07-W01,2026-03-29,2026-03-27,2026-03-29,41,41,937.94,937.94,38455.54,open
154,1,6,6,31,6,QB-031-06-W01,2026-03-29,2026-03-27,2026-03-29,142,142,39.06,39.06,5546.52,open
155,1,9,9,31,6,QB-031-09-W01,2026-03-29,2026-03-27,2026-03-29,22,22,298.29,298.29,6562.38,open
156,1,1,1,32,6,QB-032-01-W01,2026-03-29,2026-03-27,2026-03-29,608,608,35.74,35.74,21729.92,open
157,1,3,3,32,6,QB-032-03-W01,2026-03-29,2026-03-27,2026-03-29,733,733,6.47,6.47,4742.51,open
158,1,7,7,32,6,QB-032-07-W01,2026-03-29,2026-03-27,2026-03-29,64,64,937.94,937.94,60028.16,open
159,1,5,5,32,6,QB-032-05-W01,2026-03-29,2026-03-27,2026-03-29,114,114,34.29,34.29,3909.06,open
160,1,10,10,32,6,QB-032-10-W01,2026-03-29,2026-03-27,2026-03-29,40,40,240.82,240.82,9632.8,open
161,1,1,1,33,6,QB-033-01-W01,2026-03-29,2026-03-27,2026-03-29,269,269,35.74,35.74,9614.06,open
162,1,3,3,33,6,QB-033-03-W01,2026-03-29,2026-03-27,2026-03-29,313,313,6.47,6.47,2025.11,open
163,1,8,8,33,6,QB-033-08-W01,2026-03-29,2026-03-27,2026-03-29,53,53,1088.48,1088.48,57689.44,open
164,1,5,5,33,6,QB-033-05-W01,2026-03-29,2026-03-27,2026-03-29,199,199,34.29,34.29,6823.71,open
165,1,9,9,33,6,QB-033-09-W01,2026-03-29,2026-03-27,2026-03-29,44,44,298.29,298.29,13124.76,open
166,1,1,1,34,6,QB-034-01-W01,2026-03-29,2026-03-27,2026-03-29,354,354,35.74,35.74,12651.96,open
167,1,3,3,34,6,QB-034-03-W01,2026-03-29,2026-03-27,2026-03-29,444,444,6.47,6.47,2872.68,open
168,1,7,7,34,6,QB-034-07-W01,2026-03-29,2026-03-27,2026-03-29,54,54,937.94,937.94,50648.76,open
169,1,6,6,34,6,QB-034-06-W01,2026-03-29,2026-03-27,2026-03-29,179,179,39.06,39.06,6991.74,open
170,1,9,9,34,6,QB-034-09-W01,2026-03-29,2026-03-27,2026-03-29,24,24,298.29,298.29,7158.96,open
171,1,7,7,19,3,QB-019-07-W01-DUP,2026-03-29,2026-03-27,2026-03-29,77,77,937.94,937.94,72221.38,open
172,1,8,8,28,5,QB-028-08-W01-DUP,2026-03-29,2026-03-27,2026-03-29,40,40,1088.48,1088.48,43539.2,open
173,1,1,1,20,3,QB-020-01-W01-DUP,2026-03-29,2026-03-27,2026-03-29,209,209,35.74,35.74,7469.66,open
174,1,4,4,17,3,QB-017-04-W01-DUP,2026-03-29,2026-03-27,2026-03-29,789,789,6.98,6.98,5507.22,open
175,1,3,3,13,2,QB-013-03-W01-DUP,2026-03-29,2026-03-27,2026-03-29,729,729,6.47,6.47,4716.63,open
176,1,8,8,12,2,QB-012-08-W01-DUP,2026-03-29,2026-03-27,2026-03-29,49,49,1088.48,1088.48,53335.52,open
177,1,3,3,5,1,QB-005-03-W01-DUP,2026-03-29,2026-03-27,2026-03-29,570,570,6.47,6.47,3687.9,open
178,1,7,7,13,2,QB-013-07-W01-DUP,2026-03-29,2026-03-27,2026-03-29,73,73,937.94,937.94,68469.62,open
179,1,2,2,9,2,QB-009-02-W01-DUP,2026-03-29,2026-03-27,2026-03-29,738,738,39.89,39.89,29438.82,open
180,1,2,2,22,4,QB-022-02-W01-DUP,2026-03-29,2026-03-27,2026-03-29,589,589,39.89,39.89,23495.21,open
181,1,2,2,6,1,QB-006-02-W01-DUP,2026-03-29,2026-03-27,2026-03-29,641,641,39.89,39.89,25569.49,open
182,1,8,8,15,3,QB-015-08-W01-DUP,2026-03-29,2026-03-27,2026-03-29,74,74,1088.48,1088.48,80547.52,open
183,1,8,8,26,5,QB-026-08-W01-DUP,2026-03-29,2026-03-27,2026-03-29,67,67,1314.92,1088.48,88099.64,open
184,1,3,3,4,1,QB-004-03-W01-DUP,2026-03-29,2026-03-27,2026-03-29,911,911,6.47,6.47,5894.17,open
