work_item_id,org_id,city_id,store_id,team_id,item_type,priority,opened_at,expected_by,resolved_at,status,estimated_value_inr,backlog_hours,linked_order_id,linked_vendor_id
27,1,1,5,30,delivery_exception,P2,2026-03-27T12:21:00+05:30,2026-03-27T14:21:00+05:30,,open,492.45,0.5,2066,
28,1,6,32,15,customer_escalation,P1,2026-03-28T12:01:00+05:30,2026-03-28T13:01:00+05:30,2026-03-28T15:50:00+05:30,resolved,712.36,0.5,22547,
29,1,5,27,96,delivery_exception,P2,2026-03-28T12:31:00+05:30,2026-03-28T14:31:00+05:30,,open,284.21,0.5,21005,
30,1,5,27,96,delivery_exception,P2,2026-03-28T12:30:00+05:30,2026-03-28T14:30:00+05:30,2026-03-28T17:51:00+05:30,resolved,208.92,0.5,21201,
31,1,1,5,30,delivery_exception,P2,2026-03-27T12:06:00+05:30,2026-03-27T14:06:00+05:30,2026-03-27T15:37:00+05:30,resolved,237.44,0.5,2086,
32,1,4,22,81,delivery_exception,P2,2026-03-28T12:21:00+05:30,2026-03-28T14:21:00+05:30,2026-03-28T14:59:00+05:30,resolved,1061.8,0.5,19451,
33,1,5,29,102,delivery_exception,P2,2026-03-28T12:34:00+05:30,2026-03-28T14:34:00+05:30,2026-03-28T17:35:00+05:30,resolved,496.02,0.5,21736,
34,1,1,5,30,delivery_exception,P2,2026-03-27T12:39:00+05:30,2026-03-27T14:39:00+05:30,,open,444.01,0.5,2027,
35,1,4,22,81,delivery_exception,P2,2026-03-28T12:06:00+05:30,2026-03-28T14:06:00+05:30,2026-03-28T14:51:00+05:30,resolved,358.26,0.5,19519,
36,1,5,29,102,delivery_exception,P2,2026-03-28T12:36:00+05:30,2026-03-28T14:36:00+05:30,,open,84.36,0.5,21457,
37,1,1,5,30,delivery_exception,P2,2026-03-27T12:03:00+05:30,2026-03-27T14:03:00+05:30,,open,366.12,0.5,2064,
38,1,5,27,96,delivery_exception,P2,2026-03-28T12:41:00+05:30,2026-03-28T14:41:00+05:30,2026-03-28T16:28:00+05:30,resolved,456.38,0.5,21133,
39,1,4,22,81,delivery_exception,P2,2026-03-28T12:19:00+05:30,2026-03-28T14:19:00+05:30,,open,352.53,0.5,19447,
40,1,1,5,30,delivery_exception,P2,2026-03-27T12:32:00+05:30,2026-03-27T14:32:00+05:30,,open,275.96,0.5,2068,
41,1,4,22,81,delivery_exception,P2,2026-03-28T12:41:00+05:30,2026-03-28T14:41:00+05:30,2026-03-28T16:27:00+05:30,resolved,560.95,0.5,19644,
42,1,3,20,75,delivery_exception,P2,2026-03-27T12:04:00+05:30,2026-03-27T14:04:00+05:30,2026-03-27T16:59:00+05:30,resolved,582.48,0.5,7366,
43,1,1,5,30,delivery_exception,P2,2026-03-27T12:42:00+05:30,2026-03-27T14:42:00+05:30,,open,962.17,0.5,2075,
44,1,4,22,81,delivery_exception,P2,2026-03-28T12:34:00+05:30,2026-03-28T14:34:00+05:30,,open,150.29,0.5,19421,
45,1,6,32,15,customer_escalation,P1,2026-03-27T12:07:00+05:30,2026-03-27T13:07:00+05:30,,open,466.76,0.5,11197,
46,1,5,27,96,delivery_exception,P2,2026-03-28T12:32:00+05:30,2026-03-28T14:32:00+05:30,,open,803.06,0.5,21114,
47,1,3,20,75,delivery_exception,P2,2026-03-27T12:23:00+05:30,2026-03-27T14:23:00+05:30,,open,342.3,0.5,7427,
48,1,1,4,5,customer_escalation,P1,2026-03-27T12:35:00+05:30,2026-03-27T13:35:00+05:30,2026-03-27T14:49:00+05:30,resolved,674.09,0.5,1504,
49,1,4,22,81,delivery_exception,P2,2026-03-28T12:23:00+05:30,2026-03-28T14:23:00+05:30,2026-03-28T17:01:00+05:30,resolved,161.61,0.5,19733,
50,1,4,22,81,delivery_exception,P2,2026-03-28T12:30:00+05:30,2026-03-28T14:30:00+05:30,,open,347.06,0.5,19649,
51,1,3,20,75,delivery_exception,P2,2026-03-27T12:10:00+05:30,2026-03-27T14:10:00+05:30,2026-03-27T16:36:00+05:30,resolved,393.49,0.5,7439,
52,1,3,20,75,delivery_exception,P2,2026-03-27T12:42:00+05:30,2026-03-27T14:42:00+05:30,2026-03-27T16:07:00+05:30,resolved,266.7,0.5,7434,
53,1,3,20,75,delivery_exception,P2,2026-03-27T12:27:00+05:30,2026-03-27T14:27:00+05:30,,open,595.22,0.5,7461,
54,1,4,22,81,delivery_exception,P2,2026-03-28T12:40:00+05:30,2026-03-28T14:40:00+05:30,2026-03-28T15:51:00+05:30,resolved,338.37,0.5,19681,
55,1,4,22,81,delivery_exception,P2,2026-03-28T12:05:00+05:30,2026-03-28T14:05:00+05:30,2026-03-28T16:14:00+05:30,resolved,504.36,0.5,19724,
56,1,5,27,96,delivery_exception,P2,2026-03-28T12:32:00+05:30,2026-03-28T14:32:00+05:30,,open,497.41,0.5,20901,
57,1,3,20,75,delivery_exception,P2,2026-03-27T12:00:00+05:30,2026-03-27T14:00:00+05:30,,open,278.16,0.5,7404,
58,1,5,29,102,delivery_exception,P2,2026-03-28T12:41:00+05:30,2026-03-28T14:41:00+05:30,2026-03-28T17:17:00+05:30,resolved,452.25,0.5,21705,
59,1,4,22,81,delivery_exception,P2,2026-03-28T12:13:00+05:30,2026-03-28T14:13:00+05:30,2026-03-28T15:18:00+05:30,resolved,1372.48,0.5,19759,
60,1,5,29,102,delivery_exception,P2,2026-03-28T12:43:00+05:30,2026-03-28T14:43:00+05:30,,open,147.64,0.5,21539,
61,1,1,5,30,delivery_exception,P2,2026-03-27T12:27:00+05:30,2026-03-27T14:27:00+05:30,,open,507.03,0.5,1939,
62,1,1,5,30,delivery_exception,P2,2026-03-27T12:02:00+05:30,2026-03-27T14:02:00+05:30,,open,409.34,0.5,2063,
63,1,4,22,81,delivery_exception,P2,2026-03-28T12:10:00+05:30,2026-03-28T14:10:00+05:30,2026-03-28T16:43:00+05:30,resolved,257.76,0.5,19743,
64,1,5,27,13,customer_escalation,P1,2026-03-28T12:42:00+05:30,2026-03-28T13:42:00+05:30,2026-03-28T15:30:00+05:30,resolved,692.64,0.5,20839,
65,1,1,1,5,customer_escalation,P1,2026-03-27T12:16:00+05:30,2026-03-27T13:16:00+05:30,,open,675.65,0.5,576,
66,1,5,29,13,customer_escalation,P1,2026-03-27T12:15:00+05:30,2026-03-27T13:15:00+05:30,2026-03-27T16:43:00+05:30,resolved,142.58,0.5,10112,
67,1,5,29,102,delivery_exception,P2,2026-03-28T12:38:00+05:30,2026-03-28T14:38:00+05:30,,open,231.29,0.5,21478,
68,1,3,20,75,delivery_exception,P2,2026-03-27T12:29:00+05:30,2026-03-27T14:29:00+05:30,2026-03-27T16:32:00+05:30,resolved,535.21,0.5,7452,
69,1,1,5,30,delivery_exception,P2,2026-03-27T12:29:00+05:30,2026-03-27T14:29:00+05:30,,open,299.6,0.5,1900,
70,1,4,22,81,delivery_exception,P2,2026-03-28T12:20:00+05:30,2026-03-28T14:20:00+05:30,,open,105.04,0.5,19665,
71,1,1,3,5,customer_escalation,P1,2026-03-28T12:23:00+05:30,2026-03-28T13:23:00+05:30,2026-03-28T14:12:00+05:30,resolved,370.7,0.5,12535,
72,1,4,22,81,delivery_exception,P2,2026-03-28T12:16:00+05:30,2026-03-28T14:16:00+05:30,2026-03-28T16:29:00+05:30,resolved,508.28,0.5,19446,
73,1,1,1,18,delivery_exception,P2,2026-03-28T12:31:00+05:30,2026-03-28T14:31:00+05:30,,open,581.17,0.5,11946,
74,1,4,22,81,delivery_exception,P2,2026-03-28T12:00:00+05:30,2026-03-28T14:00:00+05:30,2026-03-28T17:27:00+05:30,resolved,333.09,0.5,19521,
75,1,5,29,102,delivery_exception,P2,2026-03-28T12:36:00+05:30,2026-03-28T14:36:00+05:30,2026-03-28T16:33:00+05:30,resolved,362.4,0.5,21611,
76,1,3,20,75,delivery_exception,P2,2026-03-27T12:28:00+05:30,2026-03-27T14:28:00+05:30,2026-03-27T17:31:00+05:30,resolved,184.75,0.5,7369,
77,1,5,27,96,delivery_exception,P2,2026-03-28T12:12:00+05:30,2026-03-28T14:12:00+05:30,2026-03-28T14:50:00+05:30,resolved,483.29,0.5,21097,
78,1,4,22,81,delivery_exception,P2,2026-03-28T12:08:00+05:30,2026-03-28T14:08:00+05:30,,open,1235.58,0.5,19514,
79,1,5,27,96,delivery_exception,P2,2026-03-28T12:42:00+05:30,2026-03-28T14:42:00+05:30,,open,129.51,0.5,20907,
80,1,4,23,84,delivery_exception,P2,2026-03-28T12:45:00+05:30,2026-03-28T14:45:00+05:30,2026-03-28T15:22:00+05:30,resolved,450.75,0.5,19960,
81,1,4,22,81,delivery_exception,P2,2026-03-28T12:36:00+05:30,2026-03-28T14:36:00+05:30,2026-03-28T17:38:00+05:30,resolved,602.51,0.5,19761,
82,1,4,22,81,delivery_exception,P2,2026-03-28T12:02:00+05:30,2026-03-28T14:02:00+05:30,2026-03-28T15:15:00+05:30,resolved,427.17,0.5,19789,
83,1,5,27,96,delivery_exception,P2,2026-03-28T12:33:00+05:30,2026-03-28T14:33:00+05:30,,open,432.92,0.5,21217,
84,1,4,22,81,delivery_exception,P2,2026-03-28T12:05:00+05:30,2026-03-28T14:05:00+05:30,2026-03-28T15:48:00+05:30,resolved,342.83,0.5,19574,
85,1,5,26,13,customer_escalation,P1,2026-03-28T12:21:00+05:30,2026-03-28T13:21:00+05:30,2026-03-28T13:42:00+05:30,resolved,1085.3,0.5,20723,
86,1,5,29,102,delivery_exception,P2,2026-03-28T12:42:00+05:30,2026-03-28T14:42:00+05:30,2026-03-28T16:05:00+05:30,resolved,577.33,0.5,21589,
87,1,3,20,75,delivery_exception,P2,2026-03-27T12:02:00+05:30,2026-03-27T14:02:00+05:30,,open,822.75,0.5,7474,
88,1,1,5,30,delivery_exception,P2,2026-03-27T12:37:00+05:30,2026-03-27T14:37:00+05:30,,open,821.69,0.5,2051,
89,1,4,22,81,delivery_exception,P2,2026-03-28T12:01:00+05:30,2026-03-28T14:01:00+05:30,2026-03-28T16:04:00+05:30,resolved,277.79,0.5,19535,
90,1,5,27,96,delivery_exception,P2,2026-03-28T12:07:00+05:30,2026-03-28T14:07:00+05:30,,open,338.71,0.5,20939,
91,1,4,22,81,delivery_exception,P2,2026-03-28T12:37:00+05:30,2026-03-28T14:37:00+05:30,2026-03-28T16:13:00+05:30,resolved,979.64,0.5,19738,
92,1,4,22,81,delivery_exception,P2,2026-03-28T12:03:00+05:30,2026-03-28T14:03:00+05:30,,open,187.81,0.5,19486,
93,1,4,23,84,delivery_exception,P2,2026-03-28T12:23:00+05:30,2026-03-28T14:23:00+05:30,,open,420.82,0.5,19967,
94,1,4,23,84,delivery_exception,P2,2026-03-28T12:33:00+05:30,2026-03-28T14:33:00+05:30,2026-03-28T16:49:00+05:30,resolved,842.16,0.5,19888,
95,1,5,29,102,delivery_exception,P2,2026-03-28T12:44:00+05:30,2026-03-28T14:44:00+05:30,,open,286.99,0.5,21632,
96,1,2,9,7,customer_escalation,P1,2026-03-28T12:08:00+05:30,2026-03-28T13:08:00+05:30,2026-03-28T15:40:00+05:30,resolved,273.74,0.5,14925,
97,1,4,22,81,delivery_exception,P2,2026-03-28T12:21:00+05:30,2026-03-28T14:21:00+05:30,2026-03-28T16:54:00+05:30,resolved,470.88,0.5,19604,
98,1,2,13,7,customer_escalation,P1,2026-03-27T12:39:00+05:30,2026-03-27T13:39:00+05:30,2026-03-27T16:42:00+05:30,resolved,542.2,0.5,5218,
99,1,5,29,102,delivery_exception,P2,2026-03-28T12:07:00+05:30,2026-03-28T14:07:00+05:30,2026-03-28T17:00:00+05:30,resolved,726.48,0.5,21673,
100,1,4,22,81,delivery_exception,P2,2026-03-28T12:21:00+05:30,2026-03-28T14:21:00+05:30,,open,120.22,0.5,19632,
101,1,3,20,75,delivery_exception,P2,2026-03-27T12:24:00+05:30,2026-03-27T14:24:00+05:30,2026-03-27T17:09:00+05:30,resolved,675.74,0.5,7442,
102,1,3,20,75,delivery_exception,P2,2026-03-27T12:01:00+05:30,2026-03-27T14:01:00+05:30,,open,652.14,0.5,7423,
103,1,2,10,7,customer_escalation,P1,2026-03-28T12:19:00+05:30,2026-03-28T13:19:00+05:30,2026-03-28T14:51:00+05:30,resolved,80.26,0.5,15346,
104,1,4,22,81,delivery_exception,P2,2026-03-28T12:01:00+05:30,2026-03-28T14:01:00+05:30,,open,657.91,0.5,19624,
105,1,4,22,81,delivery_exception,P2,2026-03-28T12:27:00+05:30,2026-03-28T14:27:00+05:30,2026-03-28T17:31:00+05:30,resolved,705.93,0.5,19635,
106,1,5,29,102,delivery_exception,P2,2026-03-28T12:37:00+05:30,2026-03-28T14:37:00+05:30,,open,175.08,0.5,21612,
107,1,3,20,9,customer_escalation,P1,2026-03-27T12:36:00+05:30,2026-03-27T13:36:00+05:30,,open,260.88,0.5,7409,
108,1,5,29,102,delivery_exception,P2,2026-03-28T12:41:00+05:30,2026-03-28T14:41:00+05:30,,open,208.46,0.5,21664,
109,1,5,29,102,delivery_exception,P2,2026-03-28T12:14:00+05:30,2026-03-28T14:14:00+05:30,,open,491.19,0.5,21697,
110,1,1,5,30,delivery_exception,P2,2026-03-27T12:16:00+05:30,2026-03-27T14:16:00+05:30,,open,610.16,0.5,2067,
111,1,4,22,81,delivery_exception,P2,2026-03-28T12:01:00+05:30,2026-03-28T14:01:00+05:30,2026-03-28T17:06:00+05:30,resolved,572.37,0.5,19684,
112,1,4,22,81,delivery_exception,P2,2026-03-28T12:28:00+05:30,2026-03-28T14:28:00+05:30,2026-03-28T15:42:00+05:30,resolved,630.78,0.5,19571,
113,1,4,22,81,delivery_exception,P2,2026-03-28T12:08:00+05:30,2026-03-28T14:08:00+05:30,,open,166.51,0.5,19666,
114,1,4,22,81,delivery_exception,P2,2026-03-28T12:25:00+05:30,2026-03-28T14:25:00+05:30,,open,567.08,0.5,19740,
115,1,5,29,102,delivery_exception,P2,2026-03-28T12:18:00+05:30,2026-03-28T14:18:00+05:30,,open,342.13,0.5,21461,
116,1,4,22,81,delivery_exception,P2,2026-03-28T12:17:00+05:30,2026-03-28T14:17:00+05:30,,open,190.97,0.5,19465,
117,1,5,29,102,delivery_exception,P2,2026-03-28T12:01:00+05:30,2026-03-28T14:01:00+05:30,2026-03-28T14:16:00+05:30,resolved,160.87,0.5,21694,
118,1,2,14,7,customer_escalation,P1,2026-03-27T12:24:00+05:30,2026-03-27T13:24:00+05:30,2026-03-27T14:55:00+05:30,resolved,712.53,0.5,5544,
119,1,1,5,30,delivery_exception,P2,2026-03-27T12:40:00+05:30,2026-03-27T14:40:00+05:30,2026-03-27T16:12:00+05:30,resolved,128.65,0.5,1890,
120,1,1,5,30,delivery_exception,P2,2026-03-27T12:13:00+05:30,2026-03-27T14:13:00+05:30,2026-03-27T17:29:00+05:30,resolved,277.99,0.5,2065,
121,1,4,22,81,delivery_exception,P2,2026-03-28T12:20:00+05:30,2026-03-28T14:20:00+05:30,2026-03-28T15:47:00+05:30,resolved,768.49,0.5,19678,
122,1,4,22,81,delivery_exception,P2,2026-03-28T12:06:00+05:30,2026-03-28T14:06:00+05:30,2026-03-28T15:41:00+05:30,resolved,586.24,0.5,19778,
123,1,5,27,96,delivery_exception,P2,2026-03-28T12:19:00+05:30,2026-03-28T14:19:00+05:30,,open,874.52,0.5,21129,
124,1,5,29,102,delivery_exception,P2,2026-03-28T12:06:00+05:30,2026-03-28T14:06:00+05:30,,open,1166.53,0.5,21494,
125,1,4,22,81,delivery_exception,P2,2026-03-28T12:04:00+05:30,2026-03-28T14:04:00+05:30,2026-03-28T15:53:00+05:30,resolved,849.26,0.5,19599,
126,1,3,20,75,delivery_exception,P2,2026-03-27T12:33:00+05:30,2026-03-27T14:33:00+05:30,2026-03-27T17:39:00+05:30,resolved,308.58,0.5,7420,
127,1,2,13,7,customer_escalation,P1,2026-03-27T12:33:00+05:30,2026-03-27T13:33:00+05:30,,open,1269.4,0.5,5383,
128,1,5,29,102,delivery_exception,P2,2026-03-28T12:34:00+05:30,2026-03-28T14:34:00+05:30,,open,232.61,0.5,21665,
129,1,3,20,75,delivery_exception,P2,2026-03-27T12:45:00+05:30,2026-03-27T14:45:00+05:30,,open,183.31,0.5,7466,
130,1,4,23,84,delivery_exception,P2,2026-03-28T12:20:00+05:30,2026-03-28T14:20:00+05:30,,open,549.99,0.5,19847,
131,1,4,22,81,delivery_exception,P2,2026-03-28T12:35:00+05:30,2026-03-28T14:35:00+05:30,2026-03-28T15:31:00+05:30,resolved,569.88,0.5,19652,
132,1,1,5,30,delivery_exception,P2,2026-03-27T12:08:00+05:30,2026-03-27T14:08:00+05:30,,open,293.21,0.5,1907,
133,1,1,1,5,customer_escalation,P1,2026-03-28T12:39:00+05:30,2026-03-28T13:39:00+05:30,2026-03-28T14:15:00+05:30,resolved,438.24,0.5,11704,
134,1,3,20,75,delivery_exception,P2,2026-03-27T12:09:00+05:30,2026-03-27T14:09:00+05:30,,open,481.76,0.5,7421,
135,1,5,29,102,delivery_exception,P2,2026-03-28T12:32:00+05:30,2026-03-28T14:32:00+05:30,2026-03-28T16:37:00+05:30,resolved,544.87,0.5,21538,
136,1,5,27,96,delivery_exception,P2,2026-03-28T12:28:00+05:30,2026-03-28T14:28:00+05:30,2026-03-28T17:29:00+05:30,resolved,701.13,0.5,20871,
137,1,3,20,75,delivery_exception,P2,2026-03-27T12:07:00+05:30,2026-03-27T14:07:00+05:30,2026-03-27T14:30:00+05:30,resolved,153.33,0.5,7422,
138,1,5,27,96,delivery_exception,P2,2026-03-28T12:17:00+05:30,2026-03-28T14:17:00+05:30,2026-03-28T16:23:00+05:30,resolved,297.12,0.5,20978,
139,1,5,29,102,delivery_exception,P2,2026-03-28T12:18:00+05:30,2026-03-28T14:18:00+05:30,2026-03-28T15:02:00+05:30,resolved,443.69,0.5,21653,
140,1,2,11,7,customer_escalation,P1,2026-03-27T12:41:00+05:30,2026-03-27T13:41:00+05:30,2026-03-27T16:24:00+05:30,resolved,263.02,0.5,4398,
141,1,4,22,81,delivery_exception,P2,2026-03-28T12:06:00+05:30,2026-03-28T14:06:00+05:30,,open,425.12,0.5,19481,
142,1,5,29,102,delivery_exception,P2,2026-03-28T12:03:00+05:30,2026-03-28T14:03:00+05:30,2026-03-28T14:31:00+05:30,resolved,229.06,0.5,21529,
143,1,1,6,5,customer_escalation,P1,2026-03-27T12:21:00+05:30,2026-03-27T13:21:00+05:30,,open,494.15,0.5,2369,
144,1,3,20,75,delivery_exception,P2,2026-03-27T12:30:00+05:30,2026-03-27T14:30:00+05:30,2026-03-27T16:16:00+05:30,resolved,980.08,0.5,7435,
145,1,4,22,81,delivery_exception,P2,2026-03-28T12:25:00+05:30,2026-03-28T14:25:00+05:30,2026-03-28T15:56:00+05:30,resolved,1182.93,0.5,19766,
146,1,5,29,102,delivery_exception,P2,2026-03-28T12:35:00+05:30,2026-03-28T14:35:00+05:30,,open,912.2,0.5,21567,
147,1,3,20,75,delivery_exception,P2,2026-03-27T12:22:00+05:30,2026-03-27T14:22:00+05:30,2026-03-27T16:07:00+05:30,resolved,408.28,0.5,7463,
148,1,2,13,7,customer_escalation,P1,2026-03-27T12:37:00+05:30,2026-03-27T13:37:00+05:30,2026-03-27T17:07:00+05:30,resolved,267.81,0.5,5321,
149,1,1,5,30,delivery_exception,P2,2026-03-27T12:24:00+05:30,2026-03-27T14:24:00+05:30,2026-03-27T15:33:00+05:30,resolved,693.74,0.5,1978,
150,1,4,23,84,delivery_exception,P2,2026-03-28T12:17:00+05:30,2026-03-28T14:17:00+05:30,2026-03-28T17:08:00+05:30,resolved,82.6,0.5,19933,
151,1,1,4,5,customer_escalation,P1,2026-03-28T12:29:00+05:30,2026-03-28T13:29:00+05:30,,open,291.42,0.5,13226,
152,1,5,27,96,delivery_exception,P2,2026-03-28T12:14:00+05:30,2026-03-28T14:14:00+05:30,2026-03-28T15:09:00+05:30,resolved,855.67,0.5,21021,
153,1,5,27,96,delivery_exception,P2,2026-03-28T12:17:00+05:30,2026-03-28T14:17:00+05:30,,open,252.46,0.5,21203,
154,1,3,20,75,delivery_exception,P2,2026-03-27T12:01:00+05:30,2026-03-27T14:01:00+05:30,2026-03-27T15:07:00+05:30,resolved,266.66,0.5,7440,
155,1,4,23,84,delivery_exception,P2,2026-03-28T12:37:00+05:30,2026-03-28T14:37:00+05:30,2026-03-28T17:32:00+05:30,resolved,389.7,0.5,19843,
156,1,4,23,84,delivery_exception,P2,2026-03-28T12:24:00+05:30,2026-03-28T14:24:00+05:30,2026-03-28T17:00:00+05:30,resolved,510.51,0.5,19875,
157,1,1,5,30,delivery_exception,P2,2026-03-27T12:43:00+05:30,2026-03-27T14:43:00+05:30,,open,572.79,0.5,2112,
158,1,3,20,75,delivery_exception,P2,2026-03-27T12:41:00+05:30,2026-03-27T14:41:00+05:30,2026-03-27T15:27:00+05:30,resolved,735.45,0.5,7425,
159,1,1,5,30,delivery_exception,P2,2026-03-27T12:28:00+05:30,2026-03-27T14:28:00+05:30,2026-03-27T17:04:00+05:30,resolved,407.57,0.5,1979,
160,1,4,22,81,delivery_exception,P2,2026-03-28T12:43:00+05:30,2026-03-28T14:43:00+05:30,2026-03-28T15:14:00+05:30,resolved,618.26,0.5,19590,
161,1,4,22,81,delivery_exception,P2,2026-03-28T12:36:00+05:30,2026-03-28T14:36:00+05:30,2026-03-28T17:32:00+05:30,resolved,751.43,0.5,19596,
162,1,5,27,96,delivery_exception,P2,2026-03-28T12:13:00+05:30,2026-03-28T14:13:00+05:30,2026-03-28T14:30:00+05:30,resolved,1353.85,0.5,20896,
163,1,4,22,81,delivery_exception,P2,2026-03-28T12:17:00+05:30,2026-03-28T14:17:00+05:30,2026-03-28T17:31:00+05:30,resolved,570.69,0.5,19445,
164,1,1,5,30,delivery_exception,P2,2026-03-27T12:23:00+05:30,2026-03-27T14:23:00+05:30,,open,527.01,0.5,2140,
165,1,5,29,102,delivery_exception,P2,2026-03-28T12:38:00+05:30,2026-03-28T14:38:00+05:30,,open,469.36,0.5,21704,
166,1,3,20,75,delivery_exception,P2,2026-03-27T12:11:00+05:30,2026-03-27T14:11:00+05:30,,open,122.78,0.5,7467,
167,1,1,5,30,delivery_exception,P2,2026-03-27T12:22:00+05:30,2026-03-27T14:22:00+05:30,2026-03-27T17:42:00+05:30,resolved,379.32,0.5,1916,
168,1,5,27,96,delivery_exception,P2,2026-03-28T12:39:00+05:30,2026-03-28T14:39:00+05:30,2026-03-28T17:17:00+05:30,resolved,334.63,0.5,20986,
169,1,5,27,96,delivery_exception,P2,2026-03-28T12:14:00+05:30,2026-03-28T14:14:00+05:30,,open,68.64,0.5,20840,
170,1,4,22,81,delivery_exception,P2,2026-03-28T12:01:00+05:30,2026-03-28T14:01:00+05:30,,open,822.3,0.5,19735,
171,1,4,22,81,delivery_exception,P2,2026-03-28T12:30:00+05:30,2026-03-28T14:30:00+05:30,2026-03-28T14:42:00+05:30,resolved,485.59,0.5,19467,
172,1,4,22,81,delivery_exception,P2,2026-03-28T12:20:00+05:30,2026-03-28T14:20:00+05:30,2026-03-28T15:16:00+05:30,resolved,784.94,0.5,19543,
173,1,3,20,75,delivery_exception,P2,2026-03-27T12:11:00+05:30,2026-03-27T14:11:00+05:30,2026-03-27T15:05:00+05:30,resolved,672.57,0.5,7438,
174,1,3,20,75,delivery_exception,P2,2026-03-27T12:02:00+05:30,2026-03-27T14:02:00+05:30,,open,450.12,0.5,7456,
