team_id,org_id,city_id,store_id,team_name,team_type,parent_team_id,manager_employee_id,slack_channel,escalation_level
85,1,4,24,Hyderabad Banjara Hills DS-4 Store Ops,dark_store_ops,10,742,#dark-store-ops-24,3
86,1,4,24,Hyderabad Banjara Hills DS-4 Inventory,inventory_control,85,743,#inventory-control-24,3
87,1,4,24,Hyderabad Banjara Hills DS-4 Fleet,fleet_ops,10,744,#fleet-ops-24,3
88,1,4,25,Hyderabad Kukatpally DS-5 Store Ops,dark_store_ops,10,771,#dark-store-ops-25,3
89,1,4,25,Hyderabad Kukatpally DS-5 Inventory,inventory_control,88,772,#inventory-control-25,3
90,1,4,25,Hyderabad Kukatpally DS-5 Fleet,fleet_ops,10,773,#fleet-ops-25,3
91,1,5,26,Pune Baner DS-1 Store Ops,dark_store_ops,12,805,#dark-store-ops-26,3
92,1,5,26,Pune Baner DS-1 Inventory,inventory_control,91,806,#inventory-control-26,3
93,1,5,26,Pune Baner DS-1 Fleet,fleet_ops,12,807,#fleet-ops-26,3
94,1,5,27,Pune Kothrud DS-2 Store Ops,dark_store_ops,12,828,#dark-store-ops-27,3
95,1,5,27,Pune Kothrud DS-2 Inventory,inventory_control,94,829,#inventory-control-27,3
96,1,5,27,Pune Kothrud DS-2 Fleet,fleet_ops,12,830,#fleet-ops-27,3
97,1,5,28,Pune Wakad DS-3 Store Ops,dark_store_ops,12,858,#dark-store-ops-28,3
98,1,5,28,Pune Wakad DS-3 Inventory,inventory_control,97,859,#inventory-control-28,3
99,1,5,28,Pune Wakad DS-3 Fleet,fleet_ops,12,860,#fleet-ops-28,3
100,1,5,29,Pune Viman Nagar DS-4 Store Ops,dark_store_ops,12,889,#dark-store-ops-29,3
101,1,5,29,Pune Viman Nagar DS-4 Inventory,inventory_control,100,890,#inventory-control-29,3
102,1,5,29,Pune Viman Nagar DS-4 Fleet,fleet_ops,12,891,#fleet-ops-29,3
103,1,5,30,Pune Hadapsar DS-5 Store Ops,dark_store_ops,12,920,#dark-store-ops-30,3
104,1,5,30,Pune Hadapsar DS-5 Inventory,inventory_control,103,921,#inventory-control-30,3
105,1,5,30,Pune Hadapsar DS-5 Fleet,fleet_ops,12,922,#fleet-ops-30,3
106,1,6,31,Chennai OMR DS-1 Store Ops,dark_store_ops,14,940,#dark-store-ops-31,3
107,1,6,31,Chennai OMR DS-1 Inventory,inventory_control,106,941,#inventory-control-31,3
108,1,6,31,Chennai OMR DS-1 Fleet,fleet_ops,14,942,#fleet-ops-31,3
109,1,6,32,Chennai Adyar DS-2 Store Ops,dark_store_ops,14,983,#dark-store-ops-32,3
110,1,6,32,Chennai Adyar DS-2 Inventory,inventory_control,109,984,#inventory-control-32,3
111,1,6,32,Chennai Adyar DS-2 Fleet,fleet_ops,14,985,#fleet-ops-32,3
112,1,6,33,Chennai Anna Nagar DS-3 Store Ops,dark_store_ops,14,1012,#dark-store-ops-33,3
113,1,6,33,Chennai Anna Nagar DS-3 Inventory,inventory_control,112,1013,#inventory-control-33,3
114,1,6,33,Chennai Anna Nagar DS-3 Fleet,fleet_ops,14,1014,#fleet-ops-33,3
115,1,6,34,Chennai Velachery DS-4 Store Ops,dark_store_ops,14,1037,#dark-store-ops-34,3
116,1,6,34,Chennai Velachery DS-4 Inventory,inventory_control,115,1038,#inventory-control-34,3
117,1,6,34,Chennai Velachery DS-4 Fleet,fleet_ops,14,1039,#fleet-ops-34,3
